B_teste.txt,1300.02,1-2,1
B_teste.txt,1300.02,1-2,1
Real-world Instances\P1.txt,558666,1-2,8
Real-world Instances//P1.txt,558666,1-2,1
Real-world Instances//P1.txt,558666,1-2,1
Real-world Instances//P1.txt,558666,1-2,1
Real-world Instances//P1.txt,558666,1-2,8
Real-world Instances//P1.txt,558667,1-2,8
Real-world Instances//P1.txt,558710,1-2,8
Real-world Instances//P1.txt,560595,1-2,8
Real-world Instances//P1.txt,562557,1-2,8
Real-world Instances//P5.txt,3552.15,1-2,8
Real-world Instances//P5.txt,3552.15,1-2,8
Real-world Instances//P5.txt,3552.15,1-2,8
Real-world Instances//P5.txt,3552.15,1-2,8
Real-world Instances//P5.txt,3553.62,1-2,1
Real-world Instances//P5.txt,3553.62,1-2,1
Real-world Instances//P5.txt,21001.9,1-2,1
Real-world Instances//P5.txt,5420.2,1-2,1
Real-world Instances//P5.txt,4588.97,1-2,1
Real-world Instances//P5.txt,4940.15,1-2,1
Real-world Instances//P5.txt,3591.67,1-2,1
Real-world Instances//P5.txt,3558.89,1-2,1
Real-world Instances//P5.txt,3559.65,1-2,1
Real-world Instances//P5.txt,3560.45,1-2,1
Real-world Instances//P5.txt,3561.56,1-2,1
Real-world Instances//P5.txt,3562.67,1-2,1
Real-world Instances//P5.txt,3561.56,1-2,1
Real-world Instances\\P5.txt,3560.45,1-2,8
Real-world Instances\\P5.txt,3561.56,1-2,8
Real-world Instances\\P5.txt,3562.67,1-2,8
Real-world Instances\\P5.txt,3562.67,1-2,1
