-0.7530,-0.3785,-0.2100,-0.3389,-0.1417,-0.1190
-0.2617,-0.5224,-0.4876,-0.3441,-0.1478,-0.3733
-0.8099,-0.1741,-0.0359,-0.2298,-0.1280,-0.0208
-0.5372,-0.0701,-0.1481,0.0404,-0.0022,0.0441
-0.3247,-0.2778,-0.1759,-0.2236,-0.2317,-0.2443
-0.2272,-0.4527,-0.3803,-0.3592,-0.3093,-0.3337
-0.8273,-0.6117,-0.1763,-0.3591,-0.2617,-0.3228
-0.7764,-0.7162,-0.3571,-0.1073,-0.4847,-0.2569
-0.7010,-0.7191,-0.6919,-0.2742,-0.4691,-0.2118
-0.2372,-0.4320,-0.2142,-0.2275,-0.2655,-0.2490
-0.7381,-0.5903,-0.6519,-0.6444,-0.6150,-0.6865
-0.7577,-0.7648,-0.3069,-0.0670,-0.5767,-0.6170
-0.8290,-0.8719,-0.8740,-0.8802,-0.8792,-0.4262
-0.9815,-0.8872,-0.9011,-0.8954,-0.8972,-0.9079
-0.9825,-0.8528,-0.8686,-0.8745,-0.8779,-0.7335
,-0.9307,-0.9305,-0.9312,-0.9381,-0.9183
-0.9441,-0.7496,-0.7480,-0.7157,-0.2444,-0.7650
-0.8992,-0.9607,-0.9612,-0.9647,-0.9629,-0.9629
-0.8722,-0.0550,-0.9203,-0.9255,-0.9408,-0.9413
,-0.8516,-0.9544,-0.9550,-0.9553,-0.9472
-0.6792,-0.1653,-0.5075,-0.5355,-0.4461,-0.1501
,-0.9529,0.0137,-0.1000,-0.0838,-0.5060
-0.9032,-0.1802,-0.4171,-0.4390,-0.4542,-0.5398
,-0.9416,-0.8525,-0.2518,-0.6735,-0.7271
,-0.5266,-0.6642,-0.6074,-0.6961,-0.3845
