P5,60.98,60.6,60.58,60.58,60.58,60.12,0,60.01,59.83,59.37,59.37,59.37,59.37,0,60.19,59.34,59.32,59.48,59.65,59.46
P4,36.24,36.44,36.37,36.45,36.45,31.95,0,33.85,32.11,32.28,32.4,32.4,32.31,0,35.44,34.77,32.44,31.98,32.11,32.07
P6,63.83,63.34,63.13,63.13,63.13,62.65,0,63.01,62.98,62.95,62.91,62.91,62.95,0,63.48,62.93,62.91,62.85,62.90,62.69
P7,52.6,51.41,50.85,50.54,50.54,50.41,0,52.71,51.74,51.48,51.98,51.98,50.96,0,54.62,54.36,54.05,51.81,51.47,50.76
P2,43.85,37.75,37.63,36.72,36.72,35.45,0,50.55,37.85,40.48,37.61,37.61,36.38,0,81.40,66.96,66.96,66.96,66.96,66.96
P8,56.27,59.42,54.45,53.33,53.33,52.35,0,57.11,52.92,53.93,54.01,54.01,51.47,0,100.00,100.00,92.10,92.10,92.10,96.32
P9,66.27,66.18,65.68,64.49,64.49,65.27,0,66.77,65.85,64.29,64.49,64.49,64.11,0,78.29,65.00,66.41,65.65,65.65,65.46
P10,92.39,87.86,82.86,77.45,77.45,79.15,0,75.47,71.24,72.42,71.78,71.78,67.04,0,100.00,100.00,100.00,85.85,85.85,85.85
