0.1458,0.0575,0.0227,0.0453,0.0403
0.2513,0.2235,0.0106,-0.0221,0.0382
0.1032,0.0628,0.0874,0.0403,-0.0087
0.2399,0.2635,-0.1054,0.1130,-0.1770
0.0806,0.0883,0.0132,0.0017,-0.0090
0.1548,0.0186,0.0187,-0.0068,0.0393
0.2502,0.0744,0.1196,-0.0290,-0.0586
0.2643,0.1723,0.0854,0.0886,-0.0210
0.1889,0.1488,0.0237,-0.0121,0.0111
0.6258,0.3196,0.1678,0.1214,0.3015
0.0584,0.0404,-0.0148,0.0130,-0.0091
0.0638,0.0835,0.0240,-0.0318,0.0598
0.1845,0.2011,0.2034,0.1478,0.0757
1.0099,0.1887,0.1788,0.0912,0.0159
0.3214,0.1678,0.1123,0.0538,0.0438
0.4999,-0.0279,0.0147,0.0829,-0.0252
0.1533,0.0405,0.1057,0.0381,0.0002
0.2557,0.1188,0.0743,0.0493,-0.0265
0.5771,0.3798,0.2655,0.1483,0.0319
0.3274,0.0750,0.1019,0.0991,0.0740
0.2038,0.1315,0.1443,-0.0282,-0.0221
0.3470,0.2835,0.0626,0.0357,0.0380
0.2417,0.1661,0.1015,0.0465,0.1041
0.7705,0.4127,0.0421,0.1297,
0.4086,0.3647,0.2088,0.1168,0.0665
0.1160,0.0009,-0.0083,-0.0178,-0.0178
0.1573,0.1228,0.0025,0.0858,0.0639
0.0736,0.0437,0.0471,0.0763,0.0268
0.0287,0.0020,-0.0454,-0.0235,-0.0454
0.0335,-0.0092,0.0039,-0.0405,-0.0219
0.0846,0.0742,-0.0236,0.0311,-0.0585
0.2011,0.0996,0.0901,0.0642,0.1255
0.0104,0.0002,-0.0175,-0.0074,-0.0021
0.1774,0.1842,0.0195,0.0435,0.0374
0.0861,0.0115,-0.0607,-0.0625,-0.0151
0.1114,0.0678,0.0330,0.0560,-0.0015
0.1555,0.1501,0.0474,0.0334,0.0195
0.1942,0.1064,0.0839,0.0172,0.0335
0.1199,0.0466,0.0492,0.0279,-0.0042
0.0299,0.0795,-0.0003,-0.0106,-0.0051
0.5056,0.2783,0.1230,0.1254,0.1130
0.1783,0.1181,0.0932,0.1489,-0.0075
0.3540,0.1179,0.0446,0.0887,-0.0480
0.2922,0.0441,-0.0480,0.0944,0.0517
0.3040,0.1109,0.1314,0.1270,0.0417
0.1140,0.0909,0.0496,0.0279,-0.0207
0.2706,0.1900,0.1993,-0.0303,-0.0799
0.0871,0.0478,0.0166,0.0297,-0.0016
0.5810,0.2719,0.4329,0.1679,0.0104
0.1208,0.0583,0.0755,0.0352,-0.0077
