K,D1,D2,D3,D4,D5
1,0.0000,0.0000,0.0000,0.0000,0.0000
2,-0.9025,-0.6494,-0.9548,-0.8987,-0.8561
3,-0.9418,-0.8087,-0.9482,-0.9311,-0.9503
4,-0.9448,-0.7894,-0.9638,-0.9449,-0.9494
5,-0.9550,-0.8028,-0.9685,-0.9397,-0.9578
6,-0.9471,-0.8139,-0.9721,-0.9524,-0.9655
7,-0.9566,-0.8285,-0.9712,-0.9416,-0.9645
8,-0.9572,-0.8142,-0.9695,-0.9455,-0.9645
9,-0.9487,-0.8319,-0.9714,-0.9464,-0.9678
10,-0.9538,-0.8290,-0.9740,-0.9495,-0.9700
