K,E1,E2,E3,E4,E5
1,0.0000,0.0000,0.0000,0.0000,0.0000
2,-0.1229,0.4320,-0.4825,-0.4886,-0.3170
3,-0.0606,-0.2560,-0.5067,-0.6428,-0.3655
4,-0.0777,-0.3744,-0.4934,-0.6784,-0.2526
5,-0.1123,-0.4936,-0.5278,-0.6969,-0.3322
6,-0.1179,-0.4883,-0.5447,-0.7076,-0.3941
7,-0.1397,-0.4964,-0.5391,-0.6970,-0.3984
8,-0.1336,-0.4725,-0.5186,-0.7084,-0.3753
9,-0.1399,-0.5442,-0.5518,-0.7421,-0.3979
10,-0.1311,-0.5226,-0.5441,-0.7309,-0.4068
