K,B1,B2,B3,B4,B5
1,0.0000,0.0000,0.0000,0.0000,0.0000
2,-0.3931,-0.3757,-0.2535,-0.1298,-0.2032
3,-0.3851,-0.2738,-0.3062,-0.1411,-0.1901
4,-0.3337,-0.3228,-0.2569,-0.2118,-0.2490
5,-0.3371,-0.1828,-0.2787,-0.0933,-0.1791
6,-0.3644,-0.2471,-0.2567,-0.1895,-0.1507
7,-0.3400,-0.2777,-0.2638,-0.0699,-0.1434
8,-0.3230,-0.1653,-0.2776,-0.1282,-0.1471
9,-0.2857,-0.2620,-0.0402,-0.0755,-0.1439
10,-0.3769,-0.2205,-0.0147,-0.1309,-0.1689
