K,B1,B2,B3,B4,B5
1,0.0000,0.0000,0.0000,0.0000,0.0000
2,-0.2262,-0.1606,-0.2145,0.2435,-0.0256
3,-0.4165,-0.2811,0.0400,-0.0716,-0.1878
4,-0.3901,-0.3173,0.0910,-0.0749,-0.1878
5,-0.4277,-0.2997,0.2881,-0.0638,-0.2237
6,-0.4456,-0.2694,0.2780,-0.0732,-0.2662
7,-0.4264,-0.2388,0.8237,-0.1127,-0.1960
8,-0.4405,-0.2792,0.0493,-0.1433,-0.1485
9,-0.4117,-0.2636,0.1930,-0.0885,-0.1733
10,-0.3359,-0.1390,0.4169,0.0335,-0.2713
