K,A1,A2,A3,A4,A5
1,0.0000,0.0000,0.0000,0.0000,0.0000
2,-0.1021,-0.3169,-0.2213,-0.0290,-0.1689
3,-0.1875,-0.4564,-0.2930,-0.0256,-0.2180
4,-0.1590,-0.4948,-0.3200,-0.0605,-0.2221
5,-0.1429,-0.4824,-0.3143,0.1154,-0.2332
6,-0.1654,-0.4997,-0.2907,-0.0658,-0.2618
7,-0.1418,-0.5045,-0.2958,0.0066,-0.1903
8,-0.0961,-0.4966,-0.3217,0.0029,-0.2197
9,-0.0963,-0.4639,-0.2636,0.1853,0.0477
10,-0.0847,-0.4564,-0.2398,0.2848,-0.0359
